,date,tax_without_battery,tax_with_battery
0,2025-03-19,16.00116168,9.064161680000002
1,2025-03-20,16.77311104,9.836111040000002
2,2025-03-21,16.97678136,10.039781360000001
3,2025-03-22,15.532220480000001,8.59522048
4,2025-03-23,19.90586024,12.968860240000001
5,2025-03-24,18.81480888,11.87780888
6,2025-03-25,19.13169104,12.19469104
7,2025-03-26,19.52959736,14.41564096
8,2025-03-27,16.54002784,9.60302784
9,2025-03-28,15.996722,9.059722
10,2025-03-29,16.940708960000002,10.003708960000003
11,2025-03-30,17.7642696,11.062572639999999
12,2025-03-31,17.54839016,10.71849744
13,2025-04-01,17.7947924,10.515382079999998
14,2025-04-02,15.12155008,8.184550080000001
15,2025-04-03,0.36793848,0.36793848
